filename,notes,authors,licenses,urls
body/bodies/male/fur_black.png,"see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16,JaidynReiman,Benjamin K. Smith (BenCreating),Evert,Eliza Wyatt (ElizaWy),TheraHedwig,MuffinElZangano,Durrani,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-character-bases"
body/prosthesis/peg_leg/male/mask/peg_leg.png,"","bluecarrot16","CC-BY-SA 3.0","https://opengameart.org/content/lpc-pirates"
body/prosthesis/peg_leg/male/peg_leg.png,"","bluecarrot16","CC-BY-SA 3.0","https://opengameart.org/content/lpc-pirates"
body/wings/bat/adult/fg/pink.png,"","ElizaWy,JaidynReiman","OGA-BY 3.0","https://opengameart.org/content/lpc-revised-ulpc-wings"
body/wings/bat/adult/bg/pink.png,"","ElizaWy,JaidynReiman","OGA-BY 3.0","https://opengameart.org/content/lpc-revised-ulpc-wings"
head/heads/wartotaur/adult/fur_black.png,"original **wart-o-taur** concept and sprite by Redshrike, extended to 4 directions and head extracted by Evert, cleanup and hurt/cast animations by bluecarrot16","bluecarrot16,Evert,Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY 3.0","https://opengameart.org/content/tower-defense-prototyping-assets-4-monsters-some-tiles-a-background-image,https://opengameart.org/content/wartotaur-4-directions,https://opengameart.org/content/lpc-folk"
hat/helmet/flattop/male/steel.png,"","bluecarrot16","OGA-BY 3.0,CC-BY 3.0,CC-BY 4.0,GPL 2.0,GPL 3.0","https://opengameart.org/content/lpc-helmets,https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
shoulders/plate/male/steel.png,"recolors, adapted to v3 bases by bluecarrot16","bluecarrot16,Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates"
arms/armour/plate/male/steel.png,"original by wulax, recolors by bigbeargames; adapted to v3 bases and further recolors by bluecarrot16","Michael Whitlock (bigbeargames),Matthew Krohn (makrohn),Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates"
bauldron/male/slate.png,"","Nila122","GPL 2.0,GPL 3.0,OGA-BY 3.0,CC-BY-SA 3.0","https://opengameart.org/content/more-lpc-clothes-and-hair"
weapon/sword/longsword_alt/walk/longsword_alt.png,"","Pierre Vigier and DCSS artists (see https://github.com/crawl/tiles/blob/master/ARTISTS.md)","OGA-BY 3.0","https://opengameart.org/content/lpc-dcss-swords"
weapon/sword/longsword_alt/walk/behind/longsword_alt.png,"","Pierre Vigier and DCSS artists (see https://github.com/crawl/tiles/blob/master/ARTISTS.md)","OGA-BY 3.0","https://opengameart.org/content/lpc-dcss-swords"
weapon/sword/longsword_alt/slash/longsword_alt.png,"","Pierre Vigier and DCSS artists (see https://github.com/crawl/tiles/blob/master/ARTISTS.md)","OGA-BY 3.0","https://opengameart.org/content/lpc-dcss-swords"
weapon/sword/longsword_alt/slash/behind/longsword_alt.png,"","Pierre Vigier and DCSS artists (see https://github.com/crawl/tiles/blob/master/ARTISTS.md)","OGA-BY 3.0","https://opengameart.org/content/lpc-dcss-swords"
